Log_name	Pos	Event_type	Server_id	End_log_pos	Info
mysql-bin.000002	2910862	Write_rows	1	2910903	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2910903	Table_map	1	2910970	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2910970	Write_rows	1	2911026	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2911026	Table_map	1	2911107	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2911107	Write_rows	1	2911160	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2911160	Table_map	1	2911219	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2911219	Write_rows	1	2911260	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2911260	Table_map	1	2911327	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2911327	Write_rows	1	2911377	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2911377	Table_map	1	2911458	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2911458	Write_rows	1	2911511	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2911511	Table_map	1	2911570	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2911570	Write_rows	1	2911611	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2911611	Table_map	1	2911678	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2911678	Write_rows	1	2911733	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2911733	Table_map	1	2911802	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2911802	Write_rows	1	2913027	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2913027	Table_map	1	2913108	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2913108	Write_rows	1	2913290	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2913290	Table_map	1	2913349	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2913349	Write_rows	1	2913390	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2913390	Table_map	1	2913457	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2913457	Write_rows	1	2913511	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2913511	Table_map	1	2913580	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2913580	Write_rows	1	2913649	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2913649	Table_map	1	2913730	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2913730	Write_rows	1	2913801	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2913801	Table_map	1	2913860	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2913860	Write_rows	1	2913901	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2913901	Table_map	1	2913968	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2913968	Write_rows	1	2914034	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2914034	Table_map	1	2914103	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2914103	Write_rows	1	2914240	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2914240	Table_map	1	2914321	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2914321	Write_rows	1	2914450	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2914450	Table_map	1	2914509	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2914509	Write_rows	1	2914550	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2914550	Table_map	1	2914617	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2914617	Write_rows	1	2914677	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2914677	Table_map	1	2914746	table_id: 106 (mysql.time_zone_transition)
